P4;5;1785222408665;TRIAL_START;;;;;
;5;1785222410847;DOWN;B;3;8;0.29;41572
;5;1785222410944;UP;B;3;8;0.29;41662
;5;1785222411090;DOWN;B;3;8;0.35;41782
;5;1785222411141;UP;B;3;8;0.35;41822
;5;1785222411156;SELECT;B;3;8;0.35;41822
;5;1785222411920;DOWN;B;2;7;0.46;42642
;5;1785222413917;DELETE;B;2;7;0.41;44642
;5;1785222414260;UP;B;2;7;0.44;44962
;5;1785222414504;DOWN;B;2;7;0.48;45132
;5;1785222414520;UP;B;2;7;0.52;45202
;5;1785222414601;DOWN;B;2;7;0.48;45292
;5;1785222414699;UP;B;2;7;0.52;45392
;5;1785222414713;SELECT;B;2;7;0.52;45392
;5;1785222415235;DOWN;B;2;7;0.52;45952
;5;1785222415333;UP;B;2;7;0.52;46022
;5;1785222415429;DOWN;B;2;7;0.52;46122
;5;1785222415478;UP;B;2;7;0.52;46182
;5;1785222415508;SELECT;B;2;7;0.52;46182
;5;1785222416253;DOWN;A;4;4;0.07;46981
;5;1785222416405;UP;A;4;4;0.03;47111
;5;1785222416604;DOWN;A;4;4;0.01;47291
;5;1785222416622;UP;A;4;4;0.01;47301
;5;1785222416633;SELECT;A;4;4;0.01;47301
;5;1785222417527;DOWN;A;2;2;0.52;48211
;5;1785222417626;UP;A;2;2;0.52;48301
;5;1785222417721;DOWN;A;2;2;0.57;48421
;5;1785222417771;UP;A;2;2;0.57;48461
;5;1785222417787;SELECT;A;2;2;0.57;48461
;5;1785222417809;TRIAL_END_FAILED;;;;;
;5;1785222420402;DOWN;B;0;5;0.96;51092
;5;1785222420549;TICK;B;1;6;0.73;51252
;5;1785222420644;TICK;B;2;7;0.52;51322
;5;1785222420792;TICK;B;3;8;0.35;51472
;5;1785222420938;UP;B;3;8;0.35;51572
;5;1785222421281;DOWN;B;2;7;0.40;51972
;5;1785222421333;UP;B;2;7;0.40;52052
;5;1785222421425;DOWN;B;2;7;0.46;52122
;5;1785222421524;UP;B;2;7;0.45;52202
;5;1785222421542;SELECT;B;2;7;0.45;52202
;5;1785222422109;DOWN;B;2;7;0.46;52792
;5;1785222422156;UP;B;2;7;0.46;52862
;5;1785222422744;DOWN;B;2;7;0.47;53402
;5;1785222422790;UP;B;2;7;0.52;53472
;5;1785222422888;DOWN;B;2;7;0.46;53572
;5;1785222422986;UP;B;2;7;0.46;53632
;5;1785222423001;SELECT;B;2;7;0.46;53632
;5;1785222424352;DOWN;A;4;4;0.02;55061
;5;1785222424741;UP;A;4;4;0.12;55461
;5;1785222424887;DOWN;A;4;4;0.07;55611
;5;1785222424984;UP;A;4;4;0.07;55671
;5;1785222425082;DOWN;A;4;4;0.07;55771
;5;1785222425131;UP;A;4;4;0.12;55831
;5;1785222425146;SELECT;A;4;4;0.12;55831
;5;1785222425909;DOWN;A;4;4;0.18;56621
;5;1785222426057;TICK;A;3;3;0.24;56761
;5;1785222426155;UP;A;3;3;0.29;56851
;5;1785222426544;DOWN;A;2;2;0.52;57251
;5;1785222426593;UP;A;2;2;0.52;57301
;5;1785222426690;DOWN;A;2;2;0.52;57411
;5;1785222426742;UP;A;2;2;0.52;57461
;5;1785222426773;SELECT;A;2;2;0.52;57461
;5;1785222426788;TRIAL_END_FAILED;;;;;
;5;1785222429756;DOWN;B;2;7;0.46;60452
;5;1785222429808;UP;B;2;7;0.46;60522
;5;1785222429962;DOWN;B;2;7;0.52;60642
;5;1785222429985;UP;B;2;7;0.52;60682
;5;1785222430003;SELECT;B;2;7;0.52;60682
;5;1785222430445;DOWN;B;2;7;0.52;61132
;5;1785222430493;UP;B;2;7;0.52;61202
;5;1785222430592;DOWN;B;2;7;0.55;61302
;5;1785222430640;UP;B;2;7;0.52;61352
;5;1785222430657;SELECT;B;2;7;0.52;61352
;5;1785222431712;DOWN;A;4;4;0.07;62411
;5;1785222431809;UP;A;4;4;0.07;62501
;5;1785222431865;DOWN;A;4;4;0.02;62581
;5;1785222432006;UP;A;4;4;0.01;62681
;5;1785222432026;SELECT;A;4;4;0.01;62681
;5;1785222433123;DOWN;A;1;1;0.63;63821
;5;1785222433223;UP;A;1;1;0.63;63921
;5;1785222433322;DOWN;A;1;1;0.63;64011
;5;1785222433371;UP;A;1;1;0.58;64061
;5;1785222433386;SELECT;A;1;1;0.58;64061
;5;1785222433409;TRIAL_END_SUCCESS;;;;;
